Employee_Name,EmpID,MaritalStatusID,GenderID,EmpStatusID,PerfScoreID,Salary,DOB,Sex,DateofHire,DateofTermination,EmploymentStatus,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"McKinzie, Jac",10202,1,1,2,3,63291,7/1/1984,M ,7/6/2016,,Active,Fully Meets,3.4,4,0,1/29/2019,0,7
"Meads, Elizabeth",10128,0,0,5,3,62659,05/30/68,F,4/2/2012,11/11/2016,Voluntarily Terminated,Fully Meets,4.18,4,0,2/5/2016,0,17
"Medeiros, Jennifer",10068,0,0,1,3,55688,09/22/76,F,3/30/2015,,Active,Fully Meets,5,4,0,1/21/2019,0,10
"Miller, Brannon",10116,0,1,1,3,83667,8/10/1981,M ,8/16/2012,,Active,Fully Meets,4.37,3,0,1/14/2019,0,2
"Miller, Ned",10298,0,1,5,1,55800,06/29/85,M ,8/15/2011,9/4/2014,Voluntarily Terminated,PIP,3,2,0,1/14/2013,6,6
"Monkfish, Erasumus",10213,1,1,1,3,58207,08/17/92,M ,11/7/2011,,Active,Fully Meets,3.7,3,0,1/8/2019,0,14
"Monroe, Peter",10288,1,1,1,2,157000,10/5/1986,M ,2/15/2012,,Active,Needs Improvement,2.39,3,6,2/22/2019,4,13
"Monterro, Luisa",10025,0,0,1,4,72460,04/24/70,F,5/13/2013,,Active,Exceeds,4.7,3,0,1/14/2019,0,1
"Moran, Patrick",10223,0,1,3,3,72106,12/3/1976,M ,1/9/2012,,Active,Fully Meets,4.1,4,0,1/31/2019,0,12
"Morway, Tanya",10151,1,0,1,3,52599,4/4/1979,F,2/16/2015,,Active,Fully Meets,3.81,3,6,2/11/2019,0,6
"Motlagh,  Dawn",10254,2,0,1,3,63430,7/7/1984,F,4/1/2013,,Active,Fully Meets,4.4,4,0,1/17/2019,0,18
"Moumanil, Maliki ",10120,3,1,1,3,74417,12/1/1974,M ,5/13/2013,,Active,Fully Meets,4.29,5,0,1/28/2019,0,11
"Myers, Michael",10216,0,1,1,3,57575,04/18/80,M ,7/8/2013,,Active,Fully Meets,4.1,4,0,1/22/2019,0,13
"Navathe, Kurt",10079,0,1,1,3,87921,04/25/70,M ,2/10/2017,,Active,Fully Meets,5,3,6,2/25/2019,0,17
"Ndzi, Colombui",10215,0,1,5,3,50470,5/2/1989,M ,9/26/2011,4/4/2014,Voluntarily Terminated,Fully Meets,4.3,3,0,3/2/2013,0,19
"Ndzi, Horia",10185,1,1,5,3,46664,03/28/83,M ,4/1/2013,5/25/2016,Voluntarily Terminated,Fully Meets,3.18,3,0,3/6/2016,0,10
"Newman, Richard ",10063,1,1,3,3,48495,4/8/1977,M ,5/12/2014,,Active,Fully Meets,5,5,0,2/18/2019,0,11
"Ngodup, Shari ",10037,3,0,1,4,52984,6/3/1967,F,4/1/2013,,Active,Exceeds,4,3,0,2/13/2019,0,12
"Nguyen, Dheepa",10042,0,0,1,3,63695,03/31/89,F,7/8/2013,,Active,Fully Meets,5,5,0,1/25/2019,0,2
"Nguyen, Lei-Ming",10206,0,0,1,3,62061,7/7/1984,F,7/8/2013,,Active,Fully Meets,3.6,5,0,1/2/2019,0,4
"Nowlan, Kristie",10104,0,0,1,3,66738,11/23/85,F,11/10/2014,,Active,Fully Meets,4.53,5,0,1/16/2019,0,5
"O'hare, Lynn",10303,0,0,4,1,52674,09/30/80,F,3/31/2014,5/1/2018,Terminated for Cause,PIP,2.33,2,0,3/9/2018,6,3
"Oliver, Brooke ",10078,1,0,5,3,71966,2/11/1952,F,5/14/2012,8/19/2013,Voluntarily Terminated,Fully Meets,5,3,0,7/2/2013,0,17
"Onque, Jasmine",10121,0,0,1,3,63051,5/11/1990,F,9/30/2013,,Active,Fully Meets,4.28,3,0,1/25/2019,0,1
"Osturnka, Adeel",10021,1,1,1,4,47414,12/11/1976,M ,9/30/2013,,Active,Exceeds,5,3,0,2/7/2019,0,13
"Owad, Clinton",10281,0,1,1,2,53060,11/24/79,M ,2/17/2014,,Active,Needs Improvement,4.25,3,0,2/4/2019,4,6
"Ozark, Travis",10041,0,1,1,3,68829,05/19/82,M ,1/5/2015,,Active,Fully Meets,5,5,0,1/14/2019,0,18
"Panjwani, Nina",10148,1,0,5,3,63515,5/1/1979,F,2/7/2011,1/12/2014,Voluntarily Terminated,Fully Meets,3.89,4,0,3/4/2013,0,7
"Patronick, Lucas",10005,0,1,5,4,108987,02/20/79,M ,11/7/2011,9/7/2015,Voluntarily Terminated,Exceeds,5,5,3,8/16/2015,0,13
"Pearson, Randall",10259,1,1,5,3,93093,9/5/1984,M ,12/1/2014,5/1/2016,Voluntarily Terminated,Fully Meets,4.7,4,5,1/16/2016,0,19
"Smith, Martin",10286,0,1,5,2,53564,03/17/88,M ,1/10/2011,12/28/2017,Voluntarily Terminated,Needs Improvement,3.54,5,0,4/6/2017,4,15
"Pelletier, Ermine",10297,1,0,5,2,60270,07/18/89,F,7/5/2011,9/15/2015,Voluntarily Terminated,Needs Improvement,2.4,5,0,2/6/2015,5,2
"Perry, Shakira",10171,0,0,5,3,45998,07/20/86,F,5/16/2011,10/25/2015,Voluntarily Terminated,Fully Meets,3.45,4,0,5/13/2014,0,5
"Peters, Lauren",10032,1,0,5,4,57954,08/17/86,F,5/16/2011,2/4/2013,Voluntarily Terminated,Exceeds,4.2,5,0,1/10/2013,0,12
"Peterson, Ebonee  ",10130,1,0,5,3,74669,5/9/1977,F,10/25/2010,5/18/2016,Voluntarily Terminated,Fully Meets,4.16,5,0,3/5/2015,0,6
"Petingill, Shana  ",10217,1,0,1,3,74226,3/10/1979,F,4/2/2012,,Active,Fully Meets,4.3,3,0,1/14/2019,0,14
"Petrowsky, Thelma",10016,1,0,1,4,93554,09/16/84,F,11/10/2014,,Active,Exceeds,4.6,5,7,1/4/2019,0,16
"Pham, Hong",10050,1,1,5,3,64724,3/6/1988,M ,7/5/2011,11/30/2012,Voluntarily Terminated,Fully Meets,5,3,0,2/20/2012,0,13
"Pitt, Brad ",10164,0,1,1,3,47001,11/23/81,M ,11/5/2007,,Active,Fully Meets,3.66,3,0,2/25/2019,0,15
"Potts, Xana",10124,1,0,1,3,61844,08/29/88,F,1/9/2012,,Active,Fully Meets,4.2,5,0,2/1/2019,0,9
"Power, Morissa",10187,2,0,5,3,46799,10/15/84,F,5/16/2011,6/4/2018,Voluntarily Terminated,Fully Meets,3.17,4,0,4/2/2018,0,14
"Punjabhi, Louis  ",10225,0,1,1,3,59472,06/19/61,M ,1/6/2014,,Active,Fully Meets,4.8,3,0,1/7/2019,0,14
"Purinton, Janine",10262,2,0,5,3,46430,09/22/70,F,9/24/2012,6/18/2013,Voluntarily Terminated,Fully Meets,4.5,5,0,4/2/2013,0,16
"Quinn, Sean",10131,1,1,5,3,83363,11/6/1984,M ,2/21/2011,8/15/2015,Voluntarily Terminated,Fully Meets,4.15,4,0,4/19/2014,0,4
"Rachael, Maggie",10239,1,0,1,3,95920,5/12/1980,F,10/2/2016,,Active,Fully Meets,4.4,4,6,2/6/2019,0,10
"Rarrick, Quinn",10152,2,1,5,3,61729,12/31/84,M ,9/26/2011,4/7/2018,Voluntarily Terminated,Fully Meets,3.8,5,0,2/4/2018,0,19
"Ren, Kylo",10140,1,1,1,3,61809,10/12/1954,M ,5/12/2014,,Active,Fully Meets,3.98,3,0,1/28/2019,0,4
"Rhoads, Thomas",10058,2,1,5,3,45115,07/22/82,M ,5/16/2011,1/15/2016,Voluntarily Terminated,Fully Meets,5,4,0,3/30/2015,0,11
"Rivera, Haley  ",10011,1,0,1,4,46738,1/12/1973,F,11/28/2011,,Active,Exceeds,4.36,5,0,2/11/2019,0,16
"Roberson, May",10230,2,0,5,3,64971,9/5/1981,F,9/26/2011,10/22/2011,Voluntarily Terminated,Fully Meets,4.5,4,0,10/22/2011,0,10
"Robertson, Peter",10224,1,1,5,3,55578,7/3/1972,M ,7/5/2011,2/8/2012,Voluntarily Terminated,Fully Meets,4.2,5,0,1/6/2012,0,13
"Robinson, Alain  ",10047,1,1,5,3,50428,1/7/1974,M ,1/10/2011,1/26/2016,Voluntarily Terminated,Fully Meets,5,3,0,1/10/2015,0,11
"Robinson, Cherly",10285,1,0,4,2,61422,1/7/1985,F,1/10/2011,5/17/2016,Terminated for Cause,Needs Improvement,3.6,3,0,4/5/2016,4,16
"Robinson, Elias",10020,4,1,1,4,63353,01/28/85,M ,7/8/2013,,Active,Exceeds,3.6,5,0,2/11/2019,0,4
"Roby, Lori ",10162,1,0,1,3,89883,10/11/1981,F,2/16/2015,,Active,Fully Meets,3.69,5,6,2/14/2019,0,15
"Roehrich, Bianca",10149,0,0,5,3,120000,05/27/73,F,1/5/2015,11/10/2018,Voluntarily Terminated,Fully Meets,3.88,3,7,2/13/2018,0,12
"Roper, Katie",10086,0,0,1,3,150290,11/21/72,F,1/7/2017,,Active,Fully Meets,4.94,3,5,2/6/2019,0,17
"Rose, Ashley  ",10054,3,0,1,3,60627,12/5/1974,F,1/6/2014,,Active,Fully Meets,5,4,0,1/31/2019,0,8
"Rossetti, Bruno",10065,0,1,5,3,53180,03/18/87,M ,4/4/2011,8/13/2018,Voluntarily Terminated,Fully Meets,5,5,0,7/2/2018,0,4
"Roup,Simon",10198,0,1,1,3,140920,4/5/1973,M ,1/20/2013,,Active,Fully Meets,3.6,5,7,2/18/2019,0,13
"Ruiz, Ricardo",10222,2,1,5,3,148999,1/4/1964,M ,1/9/2012,11/4/2015,Voluntarily Terminated,Fully Meets,4.3,4,6,1/4/2015,0,8
"Saada, Adell",10126,1,0,1,3,86214,07/24/86,F,11/5/2012,,Active,Fully Meets,4.2,3,6,2/13/2019,0,2
"Saar-Beckles, Melinda",10295,0,0,2,2,47750,6/6/1968,F,7/4/2016,,Active,Needs Improvement,2.6,4,0,2/18/2019,5,4
"Sadki, Nore  ",10260,0,1,5,3,46428,12/21/74,M ,1/5/2009,7/30/2018,Voluntarily Terminated,Fully Meets,4.6,5,0,2/5/2018,0,7
"Sahoo, Adil",10233,1,1,1,3,57975,04/26/86,M ,8/30/2010,,Active,Fully Meets,4.1,3,0,1/10/2019,0,13
"Salter, Jason",10229,2,1,5,3,88527,12/17/87,M ,1/5/2015,10/31/2015,Voluntarily Terminated,Fully Meets,4.2,3,5,4/20/2015,0,2
"Sander, Kamrin",10169,1,0,1,3,56147,7/10/1988,F,9/29/2014,,Active,Fully Meets,3.51,3,0,2/18/2019,0,2
"Sewkumar, Nori",10071,0,0,3,3,50923,3/10/1975,F,9/30/2013,,Active,Fully Meets,5,5,0,2/6/2019,0,14
"Shepard, Anita ",10179,1,0,1,3,50750,04/14/81,F,9/30/2014,,Active,Fully Meets,3.31,3,6,1/7/2019,0,7
"Shields, Seffi",10091,1,0,1,3,52087,08/24/85,F,8/19/2013,,Active,Fully Meets,4.81,4,0,2/15/2019,0,15
"Simard, Kramer",10178,1,1,1,3,87826,2/8/1970,M ,1/5/2015,,Active,Fully Meets,3.32,3,7,1/14/2019,0,16
"Singh, Nan ",10039,0,0,1,3,51920,05/19/88,F,5/1/2015,,Active,Fully Meets,5,3,5,1/15/2019,0,2
"Sloan, Constance",10095,0,0,5,3,63878,11/25/87,F,10/26/2009,4/8/2015,Voluntarily Terminated,Fully Meets,4.68,4,0,4/2/2015,0,20
"Smith, Joe",10027,0,1,1,4,60656,10/30/63,M ,9/29/2014,,Active,Exceeds,4.3,3,0,1/28/2019,0,4
"Smith, John",10291,2,1,1,2,72992,08/16/84,M ,5/18/2014,,Active,Needs Improvement,2.4,4,0,1/16/2019,2,16
"Smith, Leigh Ann",10153,1,0,5,3,55000,06/14/87,F,9/26/2011,9/25/2013,Voluntarily Terminated,Fully Meets,3.8,4,4,8/15/2013,0,17
"Smith, Sade",10157,0,0,1,3,58939,2/2/1965,F,11/11/2013,,Active,Fully Meets,3.73,3,0,1/24/2019,0,16
"Soto, Julia ",10119,1,0,1,3,66593,3/12/1973,F,6/10/2011,,Active,Fully Meets,4.3,3,5,2/8/2019,0,19
"Soze, Keyser",10180,1,1,2,3,87565,2/9/1983,M ,6/30/2016,,Active,Fully Meets,3.27,4,5,1/14/2019,0,13
"Sparks, Taylor  ",10302,1,0,1,1,64021,07/20/68,F,2/20/2012,,Active,PIP,2.4,2,1,2/25/2019,6,20
"Spirea, Kelley",10090,1,0,1,3,65714,09/30/75,F,10/2/2012,,Active,Fully Meets,4.83,5,0,2/14/2019,0,15
"Squatrito, Kristen",10030,2,0,5,4,62425,03/26/73,F,5/13/2013,6/29/2015,Voluntarily Terminated,Exceeds,4.1,4,0,3/2/2015,0,16
"Stanford,Barbara  M",10278,2,0,1,3,47961,08/25/82,F,1/10/2011,,Active,Fully Meets,4.1,4,0,2/7/2019,0,9
"Stansfield, Norman",10307,1,1,1,1,58273,5/9/1974,M ,5/12/2014,,Active,PIP,1.81,2,0,1/17/2019,3,5
"Steans, Tyrone  ",10147,0,1,1,3,63003,9/1/1986,M ,9/29/2014,,Active,Fully Meets,3.9,5,5,1/18/2019,0,9
"Stoica, Rick",10266,1,1,1,3,61355,03/14/85,M ,2/17/2014,,Active,Fully Meets,4.7,3,0,1/11/2019,0,4
"Strong, Caitrin",10241,1,0,1,3,60120,5/12/1989,F,9/27/2010,,Active,Fully Meets,4.1,4,0,1/31/2019,0,18
"Sullivan, Kissy ",10158,1,0,1,3,63682,03/28/78,F,1/8/2009,,Active,Fully Meets,3.73,4,0,1/24/2019,0,12
"Sullivan, Timothy",10117,1,1,1,3,63025,10/7/1982,M ,1/5/2015,,Active,Fully Meets,4.36,5,0,1/24/2019,0,10
"Sutwell, Barbara",10209,0,0,1,3,59238,08/15/68,F,5/14/2012,,Active,Fully Meets,3.4,5,0,1/31/2019,0,13
"Szabo, Andrew",10024,0,1,1,4,92989,5/6/1983,M ,7/7/2014,,Active,Exceeds,4.5,5,5,2/18/2019,0,1
"Tannen, Biff",10173,1,1,1,3,90100,10/24/87,M ,4/20/2017,,Active,Fully Meets,3.4,3,6,1/2/2019,0,14
"Tavares, Desiree  ",10221,1,0,5,3,60754,4/3/1975,F,4/27/2009,4/1/2013,Voluntarily Terminated,Fully Meets,4.5,5,0,2/15/2012,0,11
"Tejeda, Lenora ",10146,1,0,5,3,72202,05/24/53,F,5/16/2011,7/8/2017,Voluntarily Terminated,Fully Meets,3.93,3,0,4/18/2017,0,3
"Terry, Sharlene ",10161,0,0,1,3,58370,5/7/1965,F,9/29/2014,,Active,Fully Meets,3.69,3,0,1/28/2019,0,18
"Theamstern, Sophia",10141,0,0,5,3,48413,5/9/1965,F,7/5/2011,9/5/2016,Voluntarily Terminated,Fully Meets,3.98,4,0,3/2/2016,0,1
"Thibaud, Kenneth",10268,4,1,5,3,67176,09/16/75,M ,6/25/2007,8/30/2010,Voluntarily Terminated,Fully Meets,4.1,4,0,7/14/2010,0,15
"Tippett, Jeanette",10123,2,0,1,3,56339,6/5/1967,F,2/18/2013,,Active,Fully Meets,4.21,5,0,1/14/2019,0,4
"Torrence, Jack",10013,3,1,1,4,64397,01/15/68,M ,1/9/2006,,Active,Exceeds,4.1,3,0,1/4/2019,0,6
"Trang, Mei",10287,0,0,1,2,63025,05/16/83,F,2/17/2014,,Active,Needs Improvement,2.44,5,0,2/11/2019,4,18
"Tredinnick, Neville ",10044,1,1,5,3,75281,5/5/1988,M ,1/5/2015,2/12/2016,Voluntarily Terminated,Fully Meets,5,3,5,4/15/2015,0,11
"True, Edward",10102,0,1,5,3,100416,06/14/83,M ,2/18/2013,4/15/2018,Voluntarily Terminated,Fully Meets,4.6,3,4,2/12/2017,0,9
"Trzeciak, Cybil",10270,0,0,5,3,74813,03/15/85,F,1/10/2011,7/2/2014,Voluntarily Terminated,Fully Meets,4.4,3,0,1/5/2014,0,5
"Turpin, Jumil",10045,1,1,1,3,76029,03/31/69,M ,3/30/2015,,Active,Fully Meets,5,4,7,1/14/2019,0,8
"Valentin,Jackie",10205,1,0,1,3,57859,05/23/91,F,7/5/2011,,Active,Fully Meets,2.81,3,0,1/17/2019,0,16
"Veera, Abdellah ",10014,2,1,5,4,58523,01/31/87,M ,8/13/2012,2/5/2016,Voluntarily Terminated,Exceeds,4.5,5,0,2/1/2016,0,15
"Vega, Vincent",10144,2,1,1,3,88976,10/10/1968,M ,8/1/2011,,Active,Fully Meets,3.93,3,0,2/27/2019,0,19
"Villanueva, Noah",10253,0,1,1,3,55875,7/11/1989,M ,3/5/2012,,Active,Fully Meets,4.5,4,0,1/18/2019,0,11
"Voldemort, Lord",10118,1,1,4,3,113999,8/7/1986,M ,2/16/2015,2/22/2017,Terminated for Cause,Fully Meets,4.33,3,7,2/15/2017,0,9
"Volk, Colleen",10022,1,0,4,4,49773,6/3/1986,F,9/26/2011,2/8/2016,Terminated for Cause,Exceeds,4.3,5,0,2/1/2015,0,18
"Von Massenbach, Anna",10183,0,0,2,3,62068,4/6/1985,F,7/5/2015,,Active,Fully Meets,3.21,3,0,1/29/2019,0,7
"Walker, Roger",10190,0,1,1,3,66541,2/10/1976,M ,8/18/2014,,Active,Fully Meets,3.11,5,0,2/12/2019,0,4
"Wallace, Courtney  E",10274,1,0,5,3,80512,11/14/55,F,9/26/2011,1/2/2012,Voluntarily Terminated,Fully Meets,4.5,3,0,1/2/2012,0,5
"Wallace, Theresa",10293,0,0,5,2,50274,8/2/1980,F,8/13/2012,9/1/2015,Voluntarily Terminated,Needs Improvement,2.5,3,0,9/5/2014,6,13
"Wang, Charlie",10172,0,1,1,3,84903,7/8/1981,M ,2/15/2017,,Active,Fully Meets,3.42,4,7,1/4/2019,0,17
"Warfield, Sarah",10127,4,0,1,3,107226,5/2/1978,F,3/30/2015,,Active,Fully Meets,4.2,4,8,2/5/2019,0,7
"Whittier, Scott",10072,0,1,5,3,58371,05/24/87,M ,1/10/2011,5/15/2014,Voluntarily Terminated,Fully Meets,5,5,0,5/15/2014,0,11
"Wilber, Barry",10048,1,1,5,3,55140,9/9/1965,M ,5/16/2011,9/7/2015,Voluntarily Terminated,Fully Meets,5,3,0,2/15/2015,0,7
"Wilkes, Annie",10204,2,0,5,3,58062,07/30/83,F,1/10/2011,5/14/2012,Voluntarily Terminated,Fully Meets,3.6,5,0,2/6/2011,0,9
"Williams, Jacquelyn  ",10264,0,0,5,3,59728,10/2/1969,F,1/9/2012,6/27/2015,Voluntarily Terminated,Fully Meets,4.3,4,0,6/2/2014,0,16
"Winthrop, Jordan  ",10033,0,1,5,4,70507,11/7/1958,M ,1/7/2013,2/21/2016,Voluntarily Terminated,Exceeds,5,3,0,1/19/2016,0,7
"Wolk, Hang  T",10174,0,0,1,3,60446,04/20/85,F,9/29/2014,,Active,Fully Meets,3.4,4,0,2/21/2019,0,14
"Woodson, Jason",10135,0,1,1,3,65893,5/11/1985,M ,7/7/2014,,Active,Fully Meets,4.07,4,0,2/28/2019,0,13
"Ybarra, Catherine ",10301,0,0,5,1,48513,5/4/1982,F,9/2/2008,9/29/2015,Voluntarily Terminated,PIP,3.2,2,0,9/2/2015,5,4
"Zamora, Jennifer",10010,0,0,1,4,220450,08/30/79,F,4/10/2010,,Active,Exceeds,4.6,5,6,2/21/2019,0,16
"Zhou, Julia",10043,0,0,1,3,89292,02/24/79,F,3/30/2015,,Active,Fully Meets,5,3,5,2/1/2019,0,11
"Zima, Colleen",10271,4,0,1,3,45046,08/17/78,F,9/29/2014,,Active,Fully Meets,4.5,5,0,1/30/2019,0,2
